classifier_name,module_name,MCC
RF,shell,0.875
RF,command,0.844
RF,set_fact,0.86
RF,template,0.893
RF,file,0.918
RF,gather_facts,0.921
RF,copy,0.845
RF,service,0.92
RF,debug,0.928
RF,fail,0.924
SVM,shell,0.944
SVM,command,0.889
SVM,set_fact,0.952
SVM,template,0.954
SVM,file,0.957
SVM,gather_facts,0.948
SVM,copy,0.974
SVM,service,0.938
SVM,debug,0.938
SVM,fail,0.962
XGBoost,shell,0.899
XGBoost,command,0.862
XGBoost,set_fact,0.928
XGBoost,template,0.876
XGBoost,file,0.935
XGBoost,gather_facts,0.934
XGBoost,copy,0.865
XGBoost,service,0.911
XGBoost,debug,0.907
XGBoost,fail,0.911
MLP,shell,0.913
MLP,command,0.898
MLP,set_fact,0.94
MLP,template,0.925
MLP,file,0.939
MLP,gather_facts,0.947
MLP,copy,0.936
MLP,service,0.964
MLP,debug,0.969
MLP,fail,0.949
CNN,shell,0.703
CNN,command,0.517
CNN,set_fact,0.539
CNN,template,0.693
CNN,file,0.774
CNN,gather_facts,0.612
CNN,copy,0.697
CNN,service,0.715
CNN,debug,0.699
CNN,fail,0.387
LSTM,shell,0.726
LSTM,command,0.853
LSTM,set_fact,0.652
LSTM,template,0.877
LSTM,file,0.896
LSTM,gather_facts,0.697
LSTM,copy,0.792
LSTM,service,0.740
LSTM,debug,0.546
LSTM,fail,0.402
