embedding_name,classifier,module_name,MCC,AUC_ROC
Word2vec(CBOW),RF,shell,0.875,0.982
Word2vec(CBOW),RF,command,0.844,0.968
Word2vec(CBOW),RF,set_fact,0.86,0.986
Word2vec(CBOW),RF,template,0.893,0.974
Word2vec(CBOW),RF,file,0.918,0.988
Word2vec(CBOW),RF,gather_facts,0.921,0.993
Word2vec(CBOW),RF,copy,0.845,0.961
Word2vec(CBOW),RF,service,0.92,0.995
Word2vec(CBOW),RF,debug,0.928,0.997
Word2vec(CBOW),RF,fail,0.924,0.988
Word2vec(CBOW),SVM,shell,0.944,0.985
Word2vec(CBOW),SVM,command,0.889,0.981
Word2vec(CBOW),SVM,set_fact,0.952,0.985
Word2vec(CBOW),SVM,template,0.954,0.984
Word2vec(CBOW),SVM,file,0.957,0.989
Word2vec(CBOW),SVM,gather_facts,0.948,0.95
Word2vec(CBOW),SVM,copy,0.974,0.975
Word2vec(CBOW),SVM,service,0.938,1
Word2vec(CBOW),SVM,debug,0.938,0.999
Word2vec(CBOW),SVM,fail,0.962,0.997
Word2vec(CBOW),XGBoost,shell,0.899,0.939
Word2vec(CBOW),XGBoost,command,0.862,0.928
Word2vec(CBOW),XGBoost,set_fact,0.928,0.939
Word2vec(CBOW),XGBoost,template,0.876,0.939
Word2vec(CBOW),XGBoost,file,0.935,0.959
Word2vec(CBOW),XGBoost,gather_facts,0.934,0.963
Word2vec(CBOW),XGBoost,copy,0.865,0.903
Word2vec(CBOW),XGBoost,service,0.911,0.933
Word2vec(CBOW),XGBoost,debug,0.907,0.964
Word2vec(CBOW),XGBoost,fail,0.911,0.95
Word2vec(CBOW),MLP,shell,0.913,0.982
Word2vec(CBOW),MLP,command,0.898,0.98
Word2vec(CBOW),MLP,set_fact,0.94,0.994
Word2vec(CBOW),MLP,template,0.925,0.992
Word2vec(CBOW),MLP,file,0.939,0.992
Word2vec(CBOW),MLP,gather_facts,0.947,0.982
Word2vec(CBOW),MLP,copy,0.936,0.992
Word2vec(CBOW),MLP,service,0.964,0.998
Word2vec(CBOW),MLP,debug,0.969,0.999
Word2vec(CBOW),MLP,fail,0.949,0.995
Word2vec(CBOW),CNN,shell,0.703,0.850490196
Word2vec(CBOW),CNN,command,0.517,0.75864486
Word2vec(CBOW),CNN,set_fact,0.539,0.768067227
Word2vec(CBOW),CNN,template,0.693,0.841662306
Word2vec(CBOW),CNN,file,0.774,0.887248488
Word2vec(CBOW),CNN,gather_facts,0.612,0.804968944
Word2vec(CBOW),CNN,copy,0.697,0.840172239
Word2vec(CBOW),CNN,service,0.715,0.855092593
Word2vec(CBOW),CNN,debug,0.699,0.844405408
Word2vec(CBOW),CNN,fail,0.387,0.684370988
Word2vec(CBOW),LSTM,shell,0.726,0.855616898
Word2vec(CBOW),LSTM,command,0.853,0.927310669
Word2vec(CBOW),LSTM,set_fact,0.652,0.813677221
Word2vec(CBOW),LSTM,template,0.877,0.938763751
Word2vec(CBOW),LSTM,file,0.896,0.947810302
Word2vec(CBOW),LSTM,gather_facts,0.697,0.844546178
Word2vec(CBOW),LSTM,copy,0.792,0.887232704
Word2vec(CBOW),LSTM,service,0.740,0.868421053
Word2vec(CBOW),LSTM,debug,0.546,0.764812447
Word2vec(CBOW),LSTM,fail,0.402,0.696106821
Word2vec(Skip-Gram),RF,shell,0.867,0.982
Word2vec(Skip-Gram),RF,command,0.82,0.968
Word2vec(Skip-Gram),RF,set_fact,0.881,0.986
Word2vec(Skip-Gram),RF,template,0.874,0.974
Word2vec(Skip-Gram),RF,file,0.891,0.988
Word2vec(Skip-Gram),RF,gather_facts,0.921,0.993
Word2vec(Skip-Gram),RF,copy,0.82,0.961
Word2vec(Skip-Gram),RF,service,0.929,0.995
Word2vec(Skip-Gram),RF,debug,0.908,0.997
Word2vec(Skip-Gram),RF,fail,0.888,0.988
Word2vec(Skip-Gram),SVM,shell,0.929,0.985
Word2vec(Skip-Gram),SVM,command,0.897,0.981
Word2vec(Skip-Gram),SVM,set_fact,0.869,0.985
Word2vec(Skip-Gram),SVM,template,0.917,0.984
Word2vec(Skip-Gram),SVM,file,0.957,0.989
Word2vec(Skip-Gram),SVM,gather_facts,0.91,0.95
Word2vec(Skip-Gram),SVM,copy,0.828,0.975
Word2vec(Skip-Gram),SVM,service,0.973,1
Word2vec(Skip-Gram),SVM,debug,0.939,0.999
Word2vec(Skip-Gram),SVM,fail,0.937,0.997
Word2vec(Skip-Gram),XGBoost,shell,0.878,0.939
Word2vec(Skip-Gram),XGBoost,command,0.856,0.928
Word2vec(Skip-Gram),XGBoost,set_fact,0.876,0.939
Word2vec(Skip-Gram),XGBoost,template,0.88,0.939
Word2vec(Skip-Gram),XGBoost,file,0.919,0.959
Word2vec(Skip-Gram),XGBoost,gather_facts,0.927,0.963
Word2vec(Skip-Gram),XGBoost,copy,0.807,0.903
Word2vec(Skip-Gram),XGBoost,service,0.876,0.933
Word2vec(Skip-Gram),XGBoost,debug,0.928,0.964
Word2vec(Skip-Gram),XGBoost,fail,0.899,0.95
Word2vec(Skip-Gram),MLP,shell,0.892,0.974
Word2vec(Skip-Gram),MLP,command,0.867,0.975
Word2vec(Skip-Gram),MLP,set_fact,0.896,0.991
Word2vec(Skip-Gram),MLP,template,0.912,0.981
Word2vec(Skip-Gram),MLP,file,0.953,0.991
Word2vec(Skip-Gram),MLP,gather_facts,0.909,0.978
Word2vec(Skip-Gram),MLP,copy,0.89,0.977
Word2vec(Skip-Gram),MLP,service,0.947,0.999
Word2vec(Skip-Gram),MLP,debug,0.959,0.997
Word2vec(Skip-Gram),MLP,fail,0.937,0.997
Word2vec(Skip-Gram),CNN,shell,0.482791775,0.74151978
Word2vec(Skip-Gram),CNN,command,0.483233265,0.740119243
Word2vec(Skip-Gram),CNN,set_fact,0.531668625,0.764706357
Word2vec(Skip-Gram),CNN,template,0.659247754,0.821452255
Word2vec(Skip-Gram),CNN,file,0.799849024,0.900425015
Word2vec(Skip-Gram),CNN,gather_facts,0.473907427,0.699689441
Word2vec(Skip-Gram),CNN,copy,0.730426266,0.866227146
Word2vec(Skip-Gram),CNN,service,0.814299001,0.901593902
Word2vec(Skip-Gram),CNN,debug,0.45129556,0.724744246
Word2vec(Skip-Gram),CNN,fail,0.658238394,0.827663671
Word2vec(Skip-Gram),LSTM,shell,0.82,0.888715084
Word2vec(Skip-Gram),LSTM,command,0.91,0.948315789
Word2vec(Skip-Gram),LSTM,set_fact,0.96,0.896
Word2vec(Skip-Gram),LSTM,template,0.95,0.974358974
Word2vec(Skip-Gram),LSTM,file,0.9,0.924324324
Word2vec(Skip-Gram),LSTM,gather_facts,0.92,0.867126437
Word2vec(Skip-Gram),LSTM,copy,0.92,0.90989011
Word2vec(Skip-Gram),LSTM,service,0.89,0.904751381
Word2vec(Skip-Gram),LSTM,debug,0.92,0.782
Word2vec(Skip-Gram),LSTM,fail,0.5,0.662162162
Doc2vec(PV-DBOW),RF,shell,0.67,0.92
Doc2vec(PV-DBOW),RF,command,0.584,0.882
Doc2vec(PV-DBOW),RF,set_fact,0.475,0.946
Doc2vec(PV-DBOW),RF,template,0.545,0.91
Doc2vec(PV-DBOW),RF,file,0.637,0.935
Doc2vec(PV-DBOW),RF,gather_facts,0.795,0.965
Doc2vec(PV-DBOW),RF,copy,0.566,0.956
